risco,semana,probabilidade,categoria
PE-1,1,0.8,PESSOAL
PE-1,2,0.7,PESSOAL
PE-1,3,0.65,PESSOAL
PE-1,4,0.6,PESSOAL
PE-1,5,0.8,PESSOAL
PE-1,6,0.9,PESSOAL
PE-1,7,0.85,PESSOAL
PE-1,8,0.7,PESSOAL
JU-1,1,0.8,JURIDICO
JU-1,2,0.8,JURIDICO
JU-1,3,0.8,JURIDICO
JU-1,4,0.8,JURIDICO
JU-1,5,0.9,JURIDICO
JU-1,6,0.9,JURIDICO
JU-1,7,0.9,JURIDICO
JU-1,8,0.95,JURIDICO
PR-1,1,0.75,PRODUTO
PR-1,2,0.9,PRODUTO
PR-1,3,0.85,PRODUTO
PR-1,4,0.8,PRODUTO
PR-1,5,0.95,PRODUTO
PR-1,6,0.95,PRODUTO
PR-1,7,0.8,PRODUTO
PR-1,8,0.7,PRODUTO
PE-2,1,0.7,PESSOAL
PE-2,2,0.65,PESSOAL
PE-2,3,0.75,PESSOAL
PE-2,4,0.75,PESSOAL
PE-2,5,0.75,PESSOAL
PE-2,6,0.8,PESSOAL
PE-2,7,0.7,PESSOAL
PE-2,8,0.65,PESSOAL
PR-2,1,0.6,PRODUTO
PR-2,2,0.6,PRODUTO
PR-2,3,0.6,PRODUTO
PR-2,4,0.6,PRODUTO
PR-2,5,0.5,PRODUTO
PR-2,6,0.5,PRODUTO
PR-2,7,0.6,PRODUTO
PR-2,8,0.7,PRODUTO
TEC-1,1,0.5,TECNOLOGICA
TEC-1,2,0.5,TECNOLOGICA
TEC-1,3,0.5,TECNOLOGICA
TEC-1,4,0.5,TECNOLOGICA
TEC-1,5,0.5,TECNOLOGICA
TEC-1,6,0.5,TECNOLOGICA
TEC-1,7,0.7,TECNOLOGICA
TEC-1,8,0.65,TECNOLOGICA
PR-3,1,0.4,PRODUTO
PR-3,2,0.6,PRODUTO
PR-3,3,0.8,PRODUTO
PR-3,4,0.7,PRODUTO
PR-3,5,0.9,PRODUTO
PR-3,6,0.9,PRODUTO
PR-3,7,0.8,PRODUTO
PR-3,8,0.75,PRODUTO
PR-4,1,0.4,PRODUTO
PR-4,2,0.8,PRODUTO
PR-4,3,0.5,PRODUTO
PR-4,4,0.5,PRODUTO
PR-4,5,0.45,PRODUTO
PR-4,6,0.4,PRODUTO
PR-4,7,0.3,PRODUTO
PR-4,8,0.35,PRODUTO
PE-3,1,0.3,PESSOAL
PE-3,2,0.5,PESSOAL
PE-3,3,0.4,PESSOAL
PE-3,4,0.45,PESSOAL
PE-3,5,0.8,PESSOAL
PE-3,6,0.75,PESSOAL
PE-3,7,0.7,PESSOAL
PE-3,8,0.5,PESSOAL
TEC-2,1,0.5,TECNOLOGICA
TEC-2,2,0.55,TECNOLOGICA
TEC-2,3,0.55,TECNOLOGICA
TEC-2,4,0.55,TECNOLOGICA
TEC-2,5,0.55,TECNOLOGICA
TEC-2,6,0.55,TECNOLOGICA
TEC-2,7,0.7,TECNOLOGICA
TEC-2,8,0.5,TECNOLOGICA
